Unnamed: 0,eps,distortion,clip,q,G_k,G_theta,tmia,mia,acc,T,version,machine
59,5.919572998228834,2.619811237787655e-05,5.0,0.001,44.62311557788945,2.619811237787655e-05,0.3989442587561593,0.0,0.0205,1000.0,v6,becat
60,6.001531502346196,2.619811237787655e-05,5.0,0.003,45.10050251256281,2.619811237787655e-05,0.3990122605136303,0.0104452578615386,0.3719,1000.0,v6,becat
61,6.1084980389677055,2.619811237787655e-05,5.0,0.001,46.05527638190955,2.619811237787655e-05,0.3991257939090458,0.0,0.0157,1000.0,v6,becat
62,6.20088927328102,2.954974590773365e-05,5.0,0.003,41.28140703517588,2.954974590773365e-05,0.39919071178479,0.0032945669494301,0.1932,1000.0,v6,becat
63,6.322897719533096,2.954974590773365e-05,5.0,0.001,42.23618090452261,2.954974590773365e-05,0.3992936745167608,0.0,0.0205,1000.0,v6,becat
64,6.407185263743119,2.954974590773365e-05,5.0,0.002,42.71356783919598,2.954974590773365e-05,0.3993431488018556,0.0057832447557273,0.3374,1000.0,v6,becat
65,6.5360496115345725,2.954974590773365e-05,5.0,0.001,43.66834170854271,2.954974590773365e-05,0.3994291281764365,0.0,0.0163,1000.0,v6,becat
66,6.607093337095037,2.954974590773365e-05,5.0,0.001,44.14572864321608,2.954974590773365e-05,0.3994682383105618,0.0,0.0181,1000.0,v6,becat
67,6.704755315522833,2.954974590773365e-05,5.0,0.004,44.62311557788945,2.954974590773365e-05,0.3995105277783359,0.0388360237851982,0.5471,1000.0,v6,becat
68,6.820214382749975,2.954974590773365e-05,5.0,0.001,45.57788944723618,2.954974590773365e-05,0.3995702098301059,0.0,0.0116,1000.0,v6,becat
69,6.905043475301534,2.954974590773365e-05,5.0,0.002,46.05527638190955,2.954974590773365e-05,0.3996006671554444,0.001998002662673,0.3594,1000.0,v6,becat
70,7.001008190312923,3.33301678615976e-05,5.0,0.004,41.28140703517588,3.33301678615976e-05,0.3996360145282653,0.0374884444109916,0.5167,1000.0,v6,becat
71,7.133169653209722,3.33301678615976e-05,5.0,0.001,42.23618090452261,3.33301678615976e-05,0.3996853513166387,0.0,0.0154,1000.0,v6,becat
72,7.2133196468762915,3.33301678615976e-05,5.0,0.001,42.71356783919598,3.33301678615976e-05,0.3997095646458027,0.0260575343192896,0.0294,1000.0,v6,becat
73,7.308339735019751,3.33301678615976e-05,5.0,0.002,43.19095477386934,3.33301678615976e-05,0.399733117824036,0.0033942330680156,0.3782,1000.0,v6,becat
74,7.403013776730237,3.33301678615976e-05,5.0,0.004,43.66834170854271,3.33301678615976e-05,0.3997564857288531,0.0460244383112792,0.5643,1000.0,v6,becat
75,7.533889472101004,3.33301678615976e-05,5.0,0.001,44.62311557788945,3.33301678615976e-05,0.3997891623056198,0.0126200313561021,0.0316,1000.0,v6,becat
