a1	a3	a4	G_theta	G_k	E_lambda	U_b	U_a	epsilon	mia	obj	delta
0.1	0.1	0.1	2	2	0.5	1	0	1.5050000000000001	-0.21017959380967194	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.6046666666666667	-0.21619782593947573	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.7043333333333333	-0.2120873106227658	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.804	-0.1995672136538284	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	1.9036666666666666	-0.17981823204399933	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.0033333333333334	-0.15361188731265157	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.1029999999999998	-0.12148348238239087	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.2026666666666666	-0.08480389076595357	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.3023333333333333	-0.04157426142196596	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.4019999999999997	0.008002198525884296	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.5016666666666665	0.0639934953584797	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.6013333333333333	0.12667109954082073	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.7009999999999996	0.1964667165339123	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.8006666666666664	0.27394575109406	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	2.900333333333333	0.35979223642874597	6.5	nan
0.1	0.1	0.1	2	2	0.5	1	0	3.0	0.4027284182707943	6.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.01	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.10966666666666666	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.20933333333333334	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.309	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.4086666666666667	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.5083333333333333	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.608	0.45	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.7076666666666667	0.4387982750918806	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.8073333333333333	0.3217859257959059	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	0.907	0.1962402708130379	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.0066666666666666	0.09673797975655046	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.1063333333333334	0.018923955529752512	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.206	-0.04073298895204408	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.3056666666666668	-0.08508516923801851	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.4053333333333333	-0.13813384842417192	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.5050000000000001	-0.17053173767572943	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.6046666666666667	-0.18679658515942515	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.7043333333333333	-0.19028454387325494	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.804	-0.18339916681901175	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	1.9036666666666666	-0.16782866478145525	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.0033333333333334	-0.14472091089405797	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.1029999999999998	-0.11481218263523413	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.2026666666666666	-0.07854357359857461	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.3023333333333333	-0.03737224637686898	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.4019999999999997	0.010822651542422845	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.5016666666666665	0.06588662404391438	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.6013333333333333	0.12794179477970619	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.7009999999999996	0.19731962547906162	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.8006666666666664	0.2745182358618112	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	2.900333333333333	0.36017649644990185	7.5	nan
0.1	0.1	0.1	2	2	0.5	2	1	3.0	0.40274125939430405	7.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.01	0.45	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.10966666666666666	0.45	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.20933333333333334	0.45	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.309	0.3457156980820204	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.4086666666666667	-0.13726637127632163	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.5083333333333333	-0.3292473716291025	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.608	-0.4020393209832223	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.7076666666666667	-0.4256510068183949	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.8073333333333333	-0.42857102848755585	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	0.907	-0.4223500912640172	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.0066666666666666	-0.41162478647436757	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.1063333333333334	-0.3982044682801886	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.206	-0.38273703674426357	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.3056666666666668	-0.3653873353659815	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.4053333333333333	-0.3461128077779388	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.5050000000000001	-0.3247748167434716	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.6046666666666667	-0.3011828333074597	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.7043333333333333	-0.275111124619938	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.804	-0.24630408735052284	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	1.9036666666666666	-0.21447679663324143	5.5	nan
0.1	0.1	0.1	2	2	1	1	0	2.0033333333333334	-0.1793134335404109	5.5	nan
