(0.1, 0.1, 0.1, (1, 2), 0.1, (2, 1))
0.1 0.5 0.2
{'a1': 0.9, 'a3': 0.6, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316247928947}
{'a1': 0.4, 'a3': 0.4, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.557931624722654}
{'a1': 0.8, 'a3': 0.2, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.557931624722654}
{'a1': 0.2, 'a3': 0.8, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316246748087}
{'a1': 0.5, 'a3': 0.30000000000000004, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316241884533}
{'a1': 0.5, 'a3': 0.2, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.557931624183944}
{'a1': 0.2, 'a3': 0.5, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316241703869}
{'a1': 0.30000000000000004, 'a3': 0.5, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316241703869}
{'a1': 0.7000000000000001, 'a3': 0.7000000000000001, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316239896142}
{'a1': 0.8, 'a3': 0.9, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316238207284}
{'a1': 0.6, 'a3': 0.8, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316238148424}
{'a1': 0.9, 'a3': 0.8, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316238148424}
{'a1': 0.8, 'a3': 0.6, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316237931939}
{'a1': 0.7000000000000001, 'a3': 0.2, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316235679315}
{'a1': 0.2, 'a3': 0.7000000000000001, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316235158109}
{'a1': 0.30000000000000004, 'a3': 0.30000000000000004, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316232283302}
{'a1': 0.5, 'a3': 0.9, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316232216391}
{'a1': 0.9, 'a3': 0.1, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.55793162317228}
{'a1': 0.9, 'a3': 0.5, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.55793162317228}
{'a1': 0.1, 'a3': 0.9, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316231269602}
{'a1': 0.8, 'a3': 0.8, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.557931622691104}
{'a1': 0.7000000000000001, 'a3': 0.9, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316225365827}
{'a1': 0.6, 'a3': 0.7000000000000001, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316225211768}
{'a1': 0.9, 'a3': 0.7000000000000001, 'a4': 0.1, 'G_theta': 5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316225211768}
{'a1': 0.7000000000000001, 'a3': 0.6, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.5, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316225070139}
{'a1': 0.9, 'a3': 0.9, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 1, 'U_b': 1, 'U_a': 0, 'mia': -0.557931622087112}
{'a1': 0.4, 'a3': 0.2, 'a4': 0.1, 'G_theta': 7.5, 'G_k': 1, 'E_lambda': 0.1, 'U_b': 1, 'U_a': 0, 'mia': -0.5579316220262918}
